05-01-2018 13:49:35.550 INFO  HtmlParser:34 - on
05-01-2018 13:49:35.550 INFO  HtmlParser:34 - AP2000-TGBB0016.
05-01-2018 13:49:35.550 INFO  HtmlParser:34 - The
05-01-2018 13:49:35.550 INFO  HtmlParser:34 - information
05-01-2018 13:49:35.550 INFO  HtmlParser:34 - below
05-01-2018 13:49:35.550 INFO  HtmlParser:34 - describes
05-01-2018 13:49:35.550 INFO  HtmlParser:34 - your
05-01-2018 13:49:35.550 INFO  HtmlParser:34 - printer
05-01-2018 13:49:35.550 INFO  HtmlParser:34 - driver
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - and
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - port
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - settings.
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - Submitted
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - Time:
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - 15:04:08
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - 26.12.2017
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - Computer
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - name:
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - AP2000-TGBB0016
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - Printer
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - name:
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - MISPrinter
05-01-2018 13:49:35.551 INFO  HtmlParser:34 - Printer
05-01-2018 13:49:35.552 INFO  HtmlParser:34 - model:
05-01-2018 13:49:35.552 INFO  HtmlParser:34 - MS
05-01-2018 13:49:35.552 INFO  HtmlParser:34 - Publisher
05-01-2018 13:49:35.553 INFO  HtmlParser:34 - Color
05-01-2018 13:49:35.553 INFO  HtmlParser:34 - Printer
05-01-2018 13:49:35.553 INFO  HtmlParser:34 - Color
05-01-2018 13:49:35.553 INFO  HtmlParser:34 - support:
05-01-2018 13:49:35.553 INFO  HtmlParser:34 - Yes
05-01-2018 13:49:35.554 INFO  HtmlParser:34 - Port
05-01-2018 13:49:35.554 INFO  HtmlParser:34 - name(s):
05-01-2018 13:49:35.554 INFO  HtmlParser:34 - MIS
05-01-2018 13:49:35.554 INFO  HtmlParser:34 - Data
05-01-2018 13:49:35.554 INFO  HtmlParser:34 - format:
05-01-2018 13:49:35.554 INFO  HtmlParser:34 - RAW
05-01-2018 13:49:35.555 INFO  HtmlParser:34 - Share
05-01-2018 13:49:35.555 INFO  HtmlParser:34 - name:
05-01-2018 13:49:35.556 INFO  HtmlParser:34 - Location:
05-01-2018 13:49:35.556 INFO  HtmlParser:34 - Comment:
05-01-2018 13:49:35.556 INFO  HtmlParser:34 - Driver
05-01-2018 13:49:35.557 INFO  HtmlParser:34 - name:
05-01-2018 13:49:35.557 INFO  HtmlParser:34 - PSCRIPT5.DLL
05-01-2018 13:49:35.557 INFO  HtmlParser:34 - Data
05-01-2018 13:49:35.557 INFO  HtmlParser:34 - file:
05-01-2018 13:49:35.557 INFO  HtmlParser:34 - MSGENCOL.PPD
05-01-2018 13:49:35.559 INFO  HtmlParser:34 - Config
05-01-2018 13:49:35.559 INFO  HtmlParser:34 - file:
05-01-2018 13:49:35.559 INFO  HtmlParser:34 - PS5UI.DLL
05-01-2018 13:49:35.559 INFO  HtmlParser:34 - Help
05-01-2018 13:49:35.559 INFO  HtmlParser:34 - file:
05-01-2018 13:49:35.559 INFO  HtmlParser:34 - PSCRIPT.HLP
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - Driver
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - version:
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - 6.00
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - Environment:
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - Windows
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - NT
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - x86
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - Additional
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - files
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - used
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - by
05-01-2018 13:49:35.560 INFO  HtmlParser:34 - this
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - driver:
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - C:\WINDOWS\System32\spool\DRIVERS\W32X86\3\PSCRIPT.NTF
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - This
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - is
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - the
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - end
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - of
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - the
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - printer
05-01-2018 13:49:35.561 INFO  HtmlParser:34 - test
